행정구,카페이름,지번주소,도로명코드,도로명,도로명 주소,경도,위도
서초구,커피빈,서울특별시 서초구 잠원동 40-4,1.17E+11,서울특별시 서초구 신반포로47길,서울특별시 서초구 신반포로47길 5,127.0194363,37.51094776
서초구,떼루와우면2호점,서울특별시 서초구 우면동 755,1.17E+11,서울특별시 서초구 양재대로2길,서울특별시 서초구 양재대로2길 100-48,127.0153507,37.45684137
서초구,양재천커피볶는집,서울특별시 서초구 양재동 263,1.17E+11,서울특별시 서초구 마방로,서울특별시 서초구 마방로 44-1,127.0423552,37.47621984
서초구,스타벅스,서울특별시 서초구 방배동 777-11,1.17E+11,서울특별시 서초구 방배중앙로,서울특별시 서초구 방배중앙로 162,126.9865526,37.49352318
서초구,MU커피,서울특별시 서초구 방배동 766-34,1.17E+11,서울특별시 서초구 방배중앙로25길,서울특별시 서초구 방배중앙로25길 38,126.983945,37.49401438
서초구,도피오카페,서울특별시 서초구 서초동 1355,1.17E+11,서울특별시 서초구 효령로72길,서울특별시 서초구 효령로72길 60,127.0280673,37.48560033
서초구,커피코트,서울특별시 서초구 서초동 1316-5,1.17E+11,서울특별시 서초구 서초대로,서울특별시 서초구 서초대로 397,127.0244987,37.49742881
서초구,cafeVIACE,서울특별시 서초구 양재동 20-29,1.17E+11,서울특별시 서초구 강남대로,서울특별시 서초구 강남대로 156-2,127.0390691,37.47856295
서초구,커피볶는집르카페,서울특별시 서초구 양재동 13-1,1.17E+11,서울특별시 서초구 강남대로,서울특별시 서초구 강남대로 220,127.0354084,37.48364212
서초구,카페망개떡,서울특별시 서초구 반포동 1053,1.17E+11,서울특별시 서초구 신반포로,서울특별시 서초구 신반포로 22,126.9871619,37.50116032
서초구,청계다방,서울특별시 서초구 원지동 376-12,1.17E+11,서울특별시 서초구 원터4길,서울특별시 서초구 원터4길 6,127.056048,37.44375661
서초구,데일리3커피,서울특별시 서초구 서초동 1647-2,1.17E+11,서울특별시 서초구 사임당로,서울특별시 서초구 사임당로 105,127.0212185,37.49053564
서초구,딥다이브,서울특별시 서초구 방배동 435-2,1.17E+11,서울특별시 서초구 방배천로18길,서울특별시 서초구 방배천로18길 36-5,126.9848819,37.48244389
서초구,커피빈,서울특별시 서초구 서초동 1320-10,1.17E+11,서울특별시 서초구 서초대로74길,서울특별시 서초구 서초대로74길 11,127.0268953,37.49662862
서초구,스위트몬스터,서울특별시 서초구 서초동 1303-22,1.17E+11,서울특별시 서초구 강남대로,서울특별시 서초구 강남대로 465,127.0240884,37.50375083
서초구,달콤커피서래마을점,서울특별시 서초구 반포동 92-14,1.17E+11,서울특별시 서초구 사평대로26길,서울특별시 서초구 사평대로26길 26-7,126.9985345,37.49899564
서초구,드림닥터카페테리아,서울특별시 서초구 양재동 232,1.17E+11,서울특별시 서초구 강남대로,서울특별시 서초구 강남대로 27,127.0391217,37.46827328
서초구,로지카스터디카페,서울특별시 서초구 서초동 1689-6,1.17E+11,서울특별시 서초구 서초대로,서울특별시 서초구 서초대로 341,127.0186998,37.49548857
서초구,RORI,서울특별시 서초구 우면동 8-6,1.17E+11,서울특별시 서초구 바우뫼로2길,서울특별시 서초구 바우뫼로2길 69,127.0275854,37.46869251
서초구,김밥까페,서울특별시 서초구 반포동 52-2,1.17E+11,서울특별시 서초구 고무래로10길,서울특별시 서초구 고무래로10길 5,127.0108887,37.50210023
서초구,더웰BeingF&B,서울특별시 서초구 반포동 734-34,1.17E+11,서울특별시 서초구 강남대로83길,서울특별시 서초구 강남대로83길 34,127.0217538,37.50584899
서초구,커피박스,서울특별시 서초구 방배동 923-6,1.17E+11,서울특별시 서초구 방배로13길,서울특별시 서초구 방배로13길 18,126.9952751,37.48312743
서초구,빽다방,서울특별시 서초구 반포동 19-3,1.17E+11,서울특별시 서초구 신반포로,서울특별시 서초구 신반포로 176,127.0023932,37.50393001
서초구,LacittaBookGallery,서울특별시 서초구 양재동 215,1.17E+11,서울특별시 서초구 매헌로,서울특별시 서초구 매헌로 16,127.0369353,37.46246166
서초구,벌떼카페,서울특별시 서초구 우면동 2-4,1.17E+11,서울특별시 서초구 바우뫼로,서울특별시 서초구 바우뫼로 14,127.0248612,37.46954408
서초구,세컨드브레스,서울특별시 서초구 양재동 98-4,1.17E+11,서울특별시 서초구 양재천로,서울특별시 서초구 양재천로 95-2,127.0397338,37.47609945
서초구,CUCINA,서울특별시 서초구 양재동 215,1.17E+11,서울특별시 서초구 매헌로,서울특별시 서초구 매헌로 16,127.0369353,37.46246166
서초구,방배목장,서울특별시 서초구 방배동 18-21,1.17E+11,서울특별시 서초구 방배로42길,서울특별시 서초구 방배로42길 11,126.9893889,37.4953676
서초구,공간21,서울특별시 서초구 서초동 1550-12,1.17E+11,서울특별시 서초구 서초대로46길,서울특별시 서초구 서초대로46길 42,127.0105087,37.49060861
서초구,코스트코코리아푸드코트커피코너,서울특별시 서초구 양재동 217-6,1.17E+11,서울특별시 서초구 양재대로,서울특별시 서초구 양재대로 159,127.036139,37.46196859
서초구,빽다방반포고투몰2호점,서울특별시 서초구 반포동 128-4,1.17E+11,서울특별시 서초구 신반포로,서울특별시 서초구 신반포로 186-2,127.0050321,37.50621391
서초구,AssembleJuiceCompany,서울특별시 서초구 서초동 1498-5,1.17E+11,서울특별시 서초구 서초대로38길,서울특별시 서초구 서초대로38길 12,127.0053652,37.49048432
서초구,카페8월,서울특별시 서초구 반포동 739-33,1.17E+11,서울특별시 서초구 강남대로79길,서울특별시 서초구 강남대로79길 34,127.0223126,37.50462818
서초구,프랑스스트링,서울특별시 서초구 서초동 1451-25,1.17E+11,서울특별시 서초구 반포대로10길,서울특별시 서초구 반포대로10길 24,127.0131436,37.48372856
서초구,온더커피,서울특별시 서초구 잠원동 61-9,1.17E+11,서울특별시 서초구 잠원로4길,서울특별시 서초구 잠원로4길 33-2,127.0106456,37.5128027
서초구,우진커피숍,서울특별시 서초구 방배동 1022-1,1.17E+11,서울특별시 서초구 방배로8길,서울특별시 서초구 방배로8길 4,126.9991197,37.47971803
서초구,커피앳더코너,서울특별시 서초구 양재동 86,1.17E+11,서울특별시 서초구 논현로27길,서울특별시 서초구 논현로27길 21,127.0424596,37.48044666
서초구,스타벅스,서울특별시 서초구 양재동 14-4,1.17E+11,서울특별시 서초구 강남대로,서울특별시 서초구 강남대로 202,127.0368501,37.48232032
서초구,뭉치치카페,서울특별시 서초구 방배동 824-1,1.17E+11,서울특별시 서초구 동광로,서울특별시 서초구 동광로 22,126.9851772,37.49070909
서초구,라온카페앤칵테일,서울특별시 서초구 반포동 738-9,1.17E+11,서울특별시 서초구 사평대로57길,서울특별시 서초구 사평대로57길 45,127.0224953,37.50623357
서초구,700요트클럽,서울특별시 서초구 반포동 1333-1,1.17E+11,서울특별시 서초구 동작대로,서울특별시 서초구 동작대로 350,126.9810714,37.50575736
서초구,공존스터디라운지,서울특별시 서초구 서초동 1576-6,1.17E+11,서울특별시 서초구 서초중앙로,서울특별시 서초구 서초중앙로 99,127.0139123,37.49061905
서초구,미스콩.SAND.COFFEE,서울특별시 서초구 잠원동 37-6,1.17E+11,서울특별시 서초구 강남대로,서울특별시 서초구 강남대로 559,127.0205228,37.51176772
서초구,엘리스토리커피볶는집,서울특별시 서초구 양재동 332-1,1.17E+11,서울특별시 서초구 강남대로8길,서울특별시 서초구 강남대로8길 39-15,127.0421838,37.46928029
서초구,스위트번스커피,서울특별시 서초구 서초동 1443-13,1.17E+11,서울특별시 서초구 효령로,서울특별시 서초구 효령로 332,127.020556,37.48584465
서초구,콘레드커피,서울특별시 서초구 반포동 705-1,1.17E+11,서울특별시 서초구 신반포로,서울특별시 서초구 신반포로 328,127.0196473,37.51038184
서초구,커피빈,서울특별시 서초구 반포동 51-7,1.17E+11,서울특별시 서초구 서초중앙로,서울특별시 서초구 서초중앙로 209,127.0118058,37.5003058
서초구,카페베네,서울특별시 서초구 양재동 215,1.17E+11,서울특별시 서초구 매헌로,서울특별시 서초구 매헌로 16,127.0369353,37.46246166
서초구,브이카페,서울특별시 서초구 반포동 19-3,1.17E+11,서울특별시 서초구 신반포로,서울특별시 서초구 신반포로 176,127.0023932,37.50393001
서초구,버지니아커피숍,서울특별시 서초구 서초동 1698-1,1.17E+11,서울특별시 서초구 서초중앙로28길,서울특별시 서초구 서초중앙로28길 6,127.0138329,37.49666446
서초구,토비커피,서울특별시 서초구 방배동 421-23,1.17E+11,서울특별시 서초구 방배천로24길,서울특별시 서초구 방배천로24길 11,126.9841125,37.48498726
서초구,우토포스,서울특별시 서초구 방배동 769-17,1.17E+11,서울특별시 서초구 방배로39길,서울특별시 서초구 방배로39길 42-7,126.9866644,37.49446123
서초구,스타벅스,서울특별시 서초구 방배동 1022-5,1.17E+11,서울특별시 서초구 방배로,서울특별시 서초구 방배로 52,126.9994187,37.47934212
서초구,매머드익스프레스,서울특별시 서초구 서초동 1321-6,1.17E+11,서울특별시 서초구 서운로,서울특별시 서초구 서운로 138,127.0252291,37.49604722
서초구,새퍼커피,서울특별시 서초구 방배동 951-11,1.17E+11,서울특별시 서초구 서초대로4길,서울특별시 서초구 서초대로4길 17,126.9854709,37.48487279
서초구,커피빈남부터미널점,서울특별시 서초구 서초동 1602-5,1.17E+11,서울특별시 서초구 서초중앙로,서울특별시 서초구 서초중앙로 43,127.0155622,37.48553283
